area,detail,year,where,accomplishment
DELL-EMC,数据科学-数据的有效利用,2012,俄罗斯圣彼得斯堡,DELL-EMC-Academic Alliance
DELL-EMC,ISM-信息和数据存储管理,2012,俄罗斯圣彼得斯堡,DELL-EMC-Academic Alliance
Big Data University,Big Data 101,2017,线上,IBM
IBM,通过IBM z系列基础知识课程的证书,2007,俄罗斯圣彼得斯堡,
智慧城市和物联网,AMX I-II级技术知识证书,2013,俄罗斯莫斯科,
智慧城市和物联网,ABB I-III技术知识证书,2013,俄罗斯圣彼得斯堡,
智慧城市和物联网,快思聪I-II级技术证书知识,2013,俄罗斯圣彼得斯堡,
Intuit 国立开放大学,C程序设计语言,2012,线上,
Intuit 国立开放大学,Data Mining,2016,线上,
